transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Koide,8,Pair 8,3,1746,1434,-0.408514798,5.488359928,-0.837456763,1763.446191,1468.337969,38.5157849
2k_Koide,8,Pair 8,4,2098,1610,0.41337952,5.249324322,-1.17806983,2136.908498,1647.775161,54.2294568
2k_Koide,9,Pair 9,1,1278,754,-1.087295294,3.7899189,0.542724371,1256.786614,771.1440638,27.27501894
2k_Koide,9,Pair 9,2,3520,584,2.60321784,3.859048605,0.885790586,3598.42345,550.6475122,85.22104198
2k_Koide,10,Pair 10,1,2346,728,0.688269556,3.995275021,0.595692754,2358.627903,751.7665496,26.91306028
2k_Koide,10,Pair 10,2,2962,786,1.921008348,4.413971901,0.573340476,3023.154359,786.3788586,61.15553266
2k_Koide,11,Pair 11,1,2166,655,0.354987949,3.6798563,0.697741508,2173.646463,661.0917389,9.776383625
2k_Koide,11,Pair 11,2,1924,1387,0.000588383,4.890031338,-0.643030643,1943.9894,1419.45058,38.11320364
2k_Koide,11,Pair 11,3,2790,1496,1.470973015,3.937247753,-0.619974971,2864.085798,1497.81455,74.10801588
2k_Koide,12,Pair 12,1,916,1066,-2.175082684,5.001438141,0.067221306,884.3512596,1070.549207,31.97402157
2k_Koide,12,Pair 12,2,2732,743,1.40160656,4.12398386,0.615472317,2777.222614,744.8068393,45.25869465
2k_Koide,12,Pair 12,3,2374,1644,1.260709286,6.196139812,-1.417255521,2449.347439,1661.50654,77.35447987
2k_Koide,14,Pair 14,1,3112,1252,1.440896749,2.889297724,-0.16578339,3158.270371,1265.365553,48.16207271
2k_Koide,14,Pair 14,2,2900,1128,1.448679924,3.494766235,-0.023693403,2958.315294,1133.076529,58.53584122
2k_Koide,15,Pair 15,1,1784,933,-0.247766659,3.781064034,0.23784788,1787.012688,963.0182782,30.16907878
2k_Koide,15,Pair 15,2,2128,940,0.344663382,4.137983799,0.255334437,2142.60086,961.108472,25.66617818
2k_Koide,15,Pair 15,3,2478,1060,0.901913524,3.899879217,0.053801741,2502.508426,1077.92346,30.36302616
2k_Koide,15,Pair 15,4,2500,824,1.522630572,6.209660053,0.691592038,2549.103331,822.4573737,49.1275563
2k_Koide,15,Pair 15,5,3076,993,2.363394976,4.843512058,0.212576643,3163.07873,994.895096,87.09934937
2k_Koide,16,Pair 16,1,2582,965,1.273590088,4.436022758,0.227860391,2645.764266,981.3940497,65.83803233
2k_Koide,16,Pair 16,2,866,661,-2.702931881,5.861323357,1.04803896,812.1964413,661.1217757,53.8036965
