transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_manual_50_wD,5,Pair 5,3,2292,841,0.851138175,5.075316429,0.557216346,2332.662075,830.9429497,41.88733218
2k_manual_50_wD,6,Pair 6,1,1792,1520,-0.321248889,5.65302372,-1.037139654,1799.886674,1514.277631,9.743979837
2k_manual_50_wD,7,Pair 7,1,802,918,-2.120479822,4.25227499,0.313069612,763.6297287,920.117201,38.4286385
2k_manual_50_wD,7,Pair 7,2,1782,762,-0.284796208,4.064594269,0.546786547,1770.101279,789.5630241,30.02165641
2k_manual_50_wD,7,Pair 7,3,1172,1691,-1.706127405,5.248156071,-1.32160008,1161.979467,1678.002326,16.41190444
2k_manual_50_wD,7,Pair 7,4,2464,1880,1.658795834,7.047649384,-2.31817174,2511.711921,1878.323101,47.74138072
2k_manual_50_wD,8,Pair 8,1,1154,1000,-1.608715057,4.739255428,0.172281846,1137.956053,1002.717978,16.27254297
2k_manual_50_wD,8,Pair 8,2,2488,848,1.105546713,4.59732008,0.447523475,2502.692655,866.5841047,23.69056875
2k_manual_50_wD,8,Pair 8,3,1746,1434,-0.408514798,5.488359928,-0.837456763,1758.694005,1441.439506,14.71339567
2k_manual_50_wD,8,Pair 8,4,2098,1610,0.41337952,5.249324322,-1.17806983,2119.32203,1616.977406,22.43464158
2k_manual_50_wD,9,Pair 9,1,1278,754,-1.087295294,3.7899189,0.542724371,1269.328691,771.9930375,19.97350748
2k_manual_50_wD,9,Pair 9,2,3520,584,2.60321784,3.859048605,0.885790586,3539.738192,566.9102203,26.10855804
2k_manual_50_wD,10,Pair 10,1,2346,728,0.688269556,3.995275021,0.595692754,2333.167949,756.8184146,31.54619709
2k_manual_50_wD,10,Pair 10,2,2962,786,1.921008348,4.413971901,0.573340476,2979.72327,790.2127676,18.21707193
2k_manual_50_wD,11,Pair 11,1,2166,655,0.354987949,3.6798563,0.697741508,2152.937148,671.2973607,20.88640838
2k_manual_50_wD,11,Pair 11,2,1924,1387,0.000588383,4.890031338,-0.643030643,1932.637619,1396.193713,12.61478605
2k_manual_50_wD,11,Pair 11,3,2790,1496,1.470973015,3.937247753,-0.619974971,2812.873426,1478.199389,28.98370849
2k_manual_50_wD,12,Pair 12,1,916,1066,-2.175082684,5.001438141,0.067221306,906.7165678,1052.373039,16.48866851
2k_manual_50_wD,12,Pair 12,2,2732,743,1.40160656,4.12398386,0.615472317,2738.640305,751.0546805,10.43894305
2k_manual_50_wD,12,Pair 12,3,2374,1644,1.260709286,6.196139812,-1.417255521,2426.058598,1631.149902,53.62110235
2k_manual_50_wD,14,Pair 14,1,3112,1252,1.440896749,2.889297724,-0.16578339,3078.021029,1262.962942,35.7037333
2k_manual_50_wD,14,Pair 14,2,2900,1128,1.448679924,3.494766235,-0.023693403,2900.598306,1131.014995,3.073786651
2k_manual_50_wD,15,Pair 15,1,1784,933,-0.247766659,3.781064034,0.23784788,1779.506204,959.7218627,27.09708736
2k_manual_50_wD,15,Pair 15,2,2128,940,0.344663382,4.137983799,0.255334437,2124.21867,957.1537696,17.56559902
2k_manual_50_wD,15,Pair 15,3,2478,1060,0.901913524,3.899879217,0.053801741,2468.543299,1073.140832,16.1898323
2k_manual_50_wD,15,Pair 15,4,2500,824,1.522630572,6.209660053,0.691592038,2530.571324,814.1963685,32.10478212
2k_manual_50_wD,15,Pair 15,5,3076,993,2.363394976,4.843512058,0.212576643,3118.182784,990.7875699,42.24076352
