1,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Koide,4,Pair 4,3,1393,714,1.581758618,4.293738842,-0.532387614,1426.801934,706.5308756,34.6173163
2k_Koide,4,Pair 4,4,1522,717,2.134858847,4.473426819,-0.562333286,1566.909756,709.4825415,45.53458477
2k_Koide,4,Pair 4,5,1745,724,3.196326017,4.741240501,-0.621527731,1809.208941,714.3163907,64.9350473
2k_Koide,5,Pair 5,1,1290,584,1.438877106,5.1793046,-0.136691839,1313.712643,583.0404494,23.73204967
2k_Koide,5,Pair 5,2,1157,573,0.872162819,5.069969177,-0.092112206,1181.137236,572.9021484,24.13743441
2k_Koide,5,Pair 5,3,1290,682,1.424885988,5.146717072,-0.564948678,1313.309321,685.6094035,23.58712038
2k_Koide,5,Pair 5,4,1156,674,0.847511411,5.074458122,-0.497062236,1175.554987,669.8854715,19.98316437
2k_Koide,6,Pair 6,1,1128,573,0.789323032,5.42399168,-0.119304411,1148.986011,576.50823,21.27722536
2k_Koide,6,Pair 6,2,1001,562,0.168054953,5.537057877,-0.069137663,1008.487871,564.5148522,7.898904654
2k_Koide,6,Pair 6,3,993,651,0.143021345,5.502000332,-0.478945971,1003.37258,654.6866821,11.00827139
2k_Koide,6,Pair 6,4,1121,665,0.756538332,5.381266117,-0.519747257,1143.355116,667.3073743,22.47387751
2k_Koide,6,Pair 6,5,400,685,-1.662195802,3.40576911,-0.358266354,385.1571961,685.0365531,14.8428489
2k_Koide,7,Pair 7,1,967,559,0.02161487,4.847380161,-0.067640975,977.0177874,568.1949862,13.59793497
2k_Koide,7,Pair 7,2,829,550,-0.607072353,4.94166708,-0.043250546,824.0552833,561.7176961,12.71827921
2k_Koide,7,Pair 7,3,962,665,0.002564476,4.872560978,-0.465800941,972.4109581,666.2998678,10.49179223
2k_Koide,7,Pair 7,4,821,659,-0.625349879,4.897645473,-0.451493651,818.0144908,662.0881875,4.295365805
2k_Koide,8,Pair 8,1,815,551,-0.56484884,4.293528557,-0.019107917,814.3208453,558.905573,7.93469191
2k_Koide,8,Pair 8,2,653,541,-1.196886659,4.310802937,-0.003844097,638.1600193,554.8403885,20.29239714
